# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
# wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
8276.0000,0,2.09,97.077,12762,12861
8290.0000,0,2.09,97.077,12548,12647
8304.0000,0,2.09,97.077,12285,12385
8318.0000,0,2.09,97.077,12043,12142
8332.0000,0,2.09,97.077,11838,11937
8346.0000,0,2.09,97.077,11726,11825
8360.0000,0,2.09,97.077,11597,11696
8374.0000,0,2.09,97.077,11420,11520
8388.0000,0,2.09,97.077,11193,11292
8402.0000,0,2.09,97.077,11056,11155
8416.0000,0,2.09,97.077,10901,11000
8430.0000,0,2.09,97.077,10682,10781
8444.0000,0,2.09,97.077,10495,10594
8458.0000,0,2.09,97.077,10346,10445
8472.0000,0,2.09,97.077,10206,10305
8486.0000,0,2.09,97.077,10033,10132
8500.0000,0,2.09,97.077,9697.9,9797.1
8514.0000,0,2.09,97.077,9462.4,9561.5
8528.0000,0,2.09,97.077,9516.9,9616.1
8542.0000,0,2.09,97.077,8783.5,8882.7
8556.0000,0,2.09,97.077,8613.2,8712.4
8570.0000,0,2.09,97.077,9328.2,9427.4
8584.0000,0,2.09,97.077,9212.5,9311.7
8598.0000,0,2.09,97.077,9012.7,9111.8
8612.0000,0,2.09,97.077,8904.6,9003.8
8626.0000,0,2.09,97.077,8946.5,9045.7
8640.0000,0,2.09,97.077,8843.7,8942.8
8654.0000,0,2.09,97.077,8446.1,8545.2
8668.0000,0,2.09,97.077,7670,7769.2
8682.0000,0,2.09,97.077,8004.7,8103.9
8696.0000,0,2.09,97.077,8389.1,8488.3
8710.0000,0,2.09,97.077,8410.5,8509.7
8724.0000,0,2.09,97.077,8305,8404.2
8738.0000,0,2.09,97.077,7975.9,8075.1
8752.0000,0,2.09,97.077,7656.5,7755.6
8766.0000,0,2.09,97.077,7880.3,7979.5
8780.0000,0,2.09,97.077,7942.3,8041.5
8794.0000,0,2.09,97.077,7875.5,7974.6
8808.0000,0,2.09,97.077,7739,7838.2
8822.0000,0,2.09,97.077,7630.5,7729.6
8836.0000,0,2.09,97.077,7485.8,7584.9
8850.0000,0,2.09,97.077,7263.3,7362.5
8864.0000,0,2.09,97.077,6887.2,6986.3
8878.0000,0,2.09,97.077,6906.5,7005.6
8892.0000,0,2.09,97.077,7156.2,7255.4
8906.0000,0,2.09,97.077,7129.9,7229.1
8920.0000,0,2.09,97.077,7022.2,7121.4
8934.0000,0,2.09,97.077,6912.5,7011.7
8948.0000,0,2.09,97.077,6856.1,6955.3
8962.0000,0,2.09,97.077,6767.4,6866.6
8976.0000,0,2.09,97.077,6660.8,6760
8990.0000,0,2.09,97.077,6496.4,6595.6
9004.0000,0,2.09,97.077,6046,6145.1
9018.0000,0,2.09,97.077,5931.5,6030.6
9032.0000,0,2.09,97.077,6081.8,6181
9046.0000,0,2.09,97.077,6172.6,6271.7
9060.0000,0,2.09,97.077,6094.4,6193.6
9074.0000,0,2.09,97.077,5940.8,6040
9088.0000,0,2.09,97.077,5799.2,5898.3
9102.0000,0,2.09,97.077,5767.1,5866.3
9116.0000,0,2.09,97.077,5756.8,5856
9130.0000,0,2.09,97.077,5728.2,5827.4
9144.0000,0,2.09,97.077,5651.4,5750.6
9158.0000,0,2.09,97.077,5559.8,5659
9172.0000,0,2.09,97.077,5465.1,5564.3
9186.0000,0,2.09,97.077,5378.2,5477.4
9200.0000,0,2.09,97.077,5221.3,5320.4
9214.0000,0,2.09,97.077,4961.2,5060.3
9228.0000,0,2.09,97.077,4598.6,4697.8
9242.0000,0,2.09,97.077,4670.4,4769.6
9256.0000,0,2.09,97.077,4780.2,4879.3
9270.0000,0,2.09,97.077,4778,4877.2
9284.0000,0,2.09,97.077,4749.8,4849
9298.0000,0,2.09,97.077,4694.5,4793.7
9312.0000,0,2.09,97.077,4621.3,4720.4
9326.0000,0,2.09,97.077,4530.6,4629.7
9340.0000,0,2.09,97.077,4445,4544.2
9354.0000,0,2.09,97.077,4362.2,4461.4
9368.0000,0,2.09,97.077,4278.4,4377.5
9382.0000,0,2.09,97.077,4191,4290.1
9396.0000,0,2.09,97.077,4060.7,4159.9
9410.0000,0,2.09,97.077,3896,3995.2
9424.0000,0,2.09,97.077,3861.6,3960.8
9438.0000,0,2.09,97.077,3803.2,3902.3
9452.0000,0,2.09,97.077,3718.6,3817.8
9466.0000,0,2.09,97.077,3659.7,3758.8
9480.0000,0,2.09,97.077,3584.6,3683.7
9494.0000,0,2.09,97.077,3372.1,3471.2
9508.0000,0,2.09,97.077,0,99.167
9522.0000,0,2.09,97.077,0,99.167
9536.0000,0,2.09,97.077,0,99.167
9550.0000,0,2.09,97.077,0,99.167
9564.0000,0,2.09,97.077,0,99.167
9578.0000,0,2.09,97.077,0,99.167
9592.0000,0,2.09,97.077,0,99.167
9606.0000,0,2.09,97.077,0,99.167
9620.0000,0,2.09,97.077,0,99.167
9634.0000,0,2.09,97.077,0,99.167
9648.0000,0,2.09,97.077,0,99.167
9662.0000,0,2.09,97.077,0,99.167
9676.0000,0,2.09,97.077,0,99.167
9690.0000,0,2.09,97.077,0,99.167
9704.0000,0,2.09,97.077,0,99.167
9718.0000,0,2.09,97.077,0,99.167
9732.0000,0,2.09,97.077,0,99.167
9746.0000,0,2.09,97.077,0,99.167
9760.0000,0,2.09,97.077,0,99.167
9774.0000,0,2.09,97.077,0,99.167
